Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1484721809,GDM5641,NY,PAS,07/04/2022,20,SDN,LEXUS,K,0,0,0,20230207,123,123,5,160073,0005,0000,0148P,,R,,,,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0,2021,-,0,,,,,
1484752272,KSZ7897,NY,PAS,06/06/2022,14,SDN,LEXUS,K,36420,58870,0,20231115,52,52,2,161201,0002,0000,1109A,,BX,O,2593,GRAND CONCOURSE,POE PARK,0,408,E3,,BBBBBBB,ALL,ALL,BLK,0,2016,-,0,,,,,
1478495560,KVX4496,NY,PAS,06/24/2022,46,SDN,LEXUS,C,21125,24980,12550,20240504,45,45,0,109579,CCPD,0000,0635P,,BX,F,920,COOP CITY BLVD,,0,408,E2,,BBBBBBB,ALL,ALL,SLV,0,2007,-,0,,,,,
1478500050,HVM1150,NY,PAS,06/22/2022,98,SDN,LEXUS,C,24810,23800,12550,20231001,45,45,0,109383,CCPD,0000,1022A,,BX,,,S/O 140 DONIZETTI PL,,0,408,D,,BBBBBBB,ALL,ALL,SIL,0,2005,-,0,,,,,
1478526439,KET5139,NY,PAS,06/21/2022,98,SDN,LEXUS,C,23380,40404,40404,20220915,45,45,0,108018,COOP,0000,0057A,,BX,F,99,DARROW PL,,0,408,F1,,BBBBBBB,ALL,ALL,GRY,0,2004,-,0,,,,,
1307574646,JNK5201,NY,PAS,07/02/2022,51,SDN,LEXUS,P,61090,21690,62250,20240121,110,110,114,939911,0114,0000,0322P,,Q,F,126-01,ROOSEVELT AVE,,0,408,C3,,BBBBBBB,ALL,ALL,TAN,0,2004,-,0,,,,,
1427354236,KES6756,99,PAS,06/23/2022,40,SDN,LEXUS,P,6280,25730,8380,20220922,66,66,66,966174,0066,0000,0520A,,K,F,3525,12 AVE,,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,2020,-,0,,,,,
1436576507,JAL4015,NY,PAS,06/26/2022,45,SDN,LEXUS,P,10610,36530,36550,20220719,32,32,32,969386,0032,0000,0113A,,NY,F,2376,7TH AVE,,0,408,C3,,BBBBBBB,ALL,ALL,GRY,0,2007,-,0,,,,,
1479839206,KRN2623,NY,PAS,06/10/2022,24,SDN,LEXUS,Y,54580,60611,0,20230816,114,114,976,101207,0976,0000,0432A,,NY,F,900,MAIN ST,RI,0,408,D5,,BBBBBBB,ALL,ALL,BK,0,2014,-,0,,,,,
1479839449,KRN2623,NY,PAS,07/01/2022,24,SDN,LEXUS,Y,54580,40404,40404,20230816,114,114,976,101207,0976,0000,0147A,,NY,F,900,MAIN ST,,0,408,D5,,BBBBBBB,ALL,ALL,BK,0,2014,-,0,,,,,
